,Relastic,Investigative,Artistic,social,Enterprising,conventional,temp
199,6,5,5,7,6,6,199
200,6,3,6,7,5,4,200
201,6,6,7,6,5,3,201
202,6,6,4,7,5,4,202
203,6,4,3,5,6,5,203
204,6,6,6,7,7,7,204
205,5,6,5,5,4,6,205
206,6,3,7,7,5,3,206
207,6,6,6,7,6,7,207
208,6,6,7,7,7,7,208
209,6,5,5,6,5,4,209
210,6,5,6,6,4,4,210
211,5,3,5,6,1,2,211
212,6,4,2,4,4,5,212
213,4,6,7,7,4,3,213
214,5,3,5,6,4,3,214
215,6,5,6,7,6,7,215
216,5,3,4,4,5,6,216
217,6,6,6,7,7,6,217
218,6,6,5,7,6,5,218
219,4,4,4,5,5,5,219
220,6,4,5,7,7,7,220
221,6,4,3,6,4,5,221
222,0,0,0,0,0,0,222
223,3,5,5,7,5,6,223
224,5,6,7,6,5,5,224
225,6,6,6,7,6,7,225
226,6,6,6,7,7,4,226
227,5,5,6,6,6,3,227
228,3,6,2,6,3,2,228
229,4,2,4,1,4,4,229
230,6,6,6,7,6,7,230
231,5,1,6,7,5,2,231
232,6,6,7,7,6,6,232
233,5,5,5,7,6,7,233
234,5,5,2,6,4,6,234
235,6,4,7,7,7,6,235
236,6,6,7,7,7,7,236
237,6,6,5,4,5,3,237
238,6,6,7,7,7,7,238
239,6,6,7,7,7,7,239
240,5,6,7,6,7,6,240
241,6,6,7,7,7,7,241
242,2,4,3,4,1,4,242
243,5,3,5,1,5,3,243
244,6,5,5,6,6,2,244
245,4,5,3,5,5,7,245
246,3,4,5,4,2,3,246
247,6,5,6,5,5,4,247
248,6,6,7,7,7,7,248
249,6,5,7,7,7,6,249
250,4,5,3,6,3,6,250
251,6,4,4,6,7,4,251
252,6,6,5,7,5,4,252
253,5,5,6,4,5,7,253
254,6,6,7,7,7,7,254
255,6,4,5,2,3,3,255
256,6,6,4,4,1,6,256
257,2,5,1,7,4,6,257
258,5,5,3,6,4,5,258
259,6,5,7,7,4,3,259
260,6,4,4,7,5,2,260
261,5,6,4,7,6,2,261
262,6,6,7,7,5,7,262
263,6,6,7,7,7,7,263
264,4,5,3,3,4,5,264
265,6,6,6,7,5,7,265
266,5,6,7,7,7,7,266
267,6,5,7,7,5,7,267
268,4,6,3,7,5,4,268
269,5,5,1,6,3,5,269
270,6,5,5,7,4,3,270
271,5,4,6,5,4,7,271
272,5,6,6,7,3,4,272
273,6,4,6,7,5,4,273
274,2,4,6,4,4,7,274
275,6,5,7,6,4,6,275
276,5,5,5,6,3,5,276
277,5,5,6,4,3,5,277
278,6,4,6,7,5,5,278
279,6,6,6,7,6,7,279
280,4,1,4,4,4,3,280
281,5,4,5,7,6,5,281
282,6,6,6,7,7,6,282
283,5,6,6,7,5,7,283
284,4,5,4,3,4,5,284
285,4,4,4,7,4,5,285
286,6,6,7,7,6,7,286
287,4,5,6,4,4,5,287
288,4,5,7,6,6,7,288
289,6,5,6,5,6,4,289
290,5,6,7,7,6,7,290
291,6,5,7,6,6,6,291
292,6,6,6,7,5,7,292
293,6,5,5,6,3,3,293
294,5,6,7,7,4,7,294
295,6,5,7,7,7,5,295
296,5,5,6,7,6,5,296
297,4,5,7,6,5,6,297
298,5,6,7,7,6,7,298
299,6,3,5,4,5,3,299
300,5,6,5,5,6,4,300
301,6,4,5,4,6,6,301
302,5,6,7,5,4,5,302
303,0,4,4,6,5,5,303
304,5,4,5,6,6,6,304
305,5,5,4,6,6,7,305
306,5,6,6,6,6,6,306
