,Relastic,Investigative,Artistic,social,Enterprising,conventional,temp
868,6,6,7,7,6,6,868
869,4,3,2,5,2,7,869
870,6,4,5,7,7,6,870
871,5,5,5,7,5,6,871
872,6,6,6,7,5,7,872
873,4,5,4,6,3,3,873
874,5,6,6,7,6,7,874
875,4,6,7,7,6,4,875
876,4,4,3,7,6,5,876
877,4,5,6,6,4,4,877
878,6,6,6,7,5,7,878
879,5,4,6,6,5,7,879
880,5,6,4,6,5,7,880
881,4,6,7,4,6,5,881
882,6,6,6,6,4,7,882
883,5,5,6,5,4,5,883
884,6,6,7,7,7,7,884
885,4,6,6,6,6,7,885
886,5,6,5,6,6,6,886
887,4,6,5,7,6,7,887
888,6,6,4,7,5,4,888
889,6,4,3,3,6,4,889
890,5,5,4,6,4,7,890
891,5,2,5,5,3,6,891
892,4,6,6,7,5,5,892
893,4,4,4,7,4,4,893
894,6,6,4,7,6,6,894
895,3,5,6,7,5,7,895
896,4,6,5,7,5,7,896
897,6,6,6,7,7,6,897
898,3,5,5,4,3,6,898
899,6,6,5,3,3,7,899
900,4,1,3,6,3,5,900
901,5,6,5,6,4,7,901
902,3,6,1,4,3,2,902
903,5,5,6,7,6,1,903
904,6,3,5,6,3,5,904
905,4,3,5,5,5,5,905
906,4,5,7,7,7,6,906
907,5,5,6,1,6,5,907
908,4,2,3,6,7,5,908
909,5,5,6,7,6,7,909
910,4,6,4,6,4,4,910
911,6,6,7,7,7,5,911
912,5,6,6,7,7,7,912
913,6,6,5,7,6,6,913
914,6,6,7,7,6,7,914
915,4,2,3,6,5,4,915
916,5,4,6,6,6,5,916
917,6,6,5,6,5,5,917
918,3,3,7,5,4,3,918
919,3,3,3,2,5,7,919
920,5,5,4,6,5,4,920
921,3,5,5,6,6,6,921
922,5,6,4,6,6,7,922
923,4,5,7,6,3,7,923
924,2,6,5,4,5,3,924
925,5,5,6,7,6,5,925
926,6,4,5,7,5,2,926
927,6,6,6,6,5,7,927
928,6,6,7,7,7,7,928
929,4,4,5,5,4,5,929
930,4,6,2,6,6,6,930
931,6,6,5,6,5,6,931
932,6,5,7,7,5,7,932
933,6,6,5,7,6,7,933
934,6,6,7,7,7,7,934
935,6,5,6,6,6,3,935
936,6,5,3,5,5,4,936
937,4,5,6,5,4,6,937
938,5,4,7,3,4,5,938
939,5,6,2,7,5,6,939
940,5,2,2,6,7,3,940
941,5,4,3,6,5,4,941
942,3,5,5,7,3,5,942
943,4,5,3,6,5,6,943
944,6,4,5,6,4,4,944
945,5,3,5,6,6,5,945
946,6,4,5,6,4,4,946
947,4,6,5,7,5,6,947
948,2,4,6,5,0,5,948
949,6,4,6,7,6,5,949
950,6,5,7,7,5,5,950
951,4,2,1,2,4,5,951
952,5,6,6,7,4,6,952
953,2,6,5,7,4,4,953
954,5,5,5,5,5,4,954
955,5,3,4,5,6,6,955
956,5,6,7,7,6,7,956
957,5,5,6,6,6,6,957
